,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77141|ZNF302,0.929108635109603,-0.0319335035840563,Homo sapiens,ZNF302,tf,293T,None,None,1,ZNF302
77063|ZNF681,0.929622502844098,-0.0316933721065685,Homo sapiens,ZNF681,tf,293T,None,None,1,ZNF681
58136|ARID3B,0.929879578657344,-0.0315732898448217,Homo sapiens,ARID3B,predicted transcription factor,OECM1,None,Head and neck,1,ARID3B
55365|LOXL1,0.930631149245632,-0.0312224152466656,Homo sapiens,LOXL1,other,None,None,Schlemm's canal,0,LOXL1
73945|ZNF486,0.931474412851946,-0.0308290704615997,Homo sapiens,ZNF486,not sure,293T,None,None,1,ZNF486
77123|ZNF433,0.931775548525966,-0.0306886904102047,Homo sapiens,ZNF433,tf,293T,None,None,1,ZNF433
38849|MEIS2,0.932014853361849,-0.0305771663137372,Homo sapiens,MEIS2,tf,LoVo,None,Colon,0,MEIS2
77134|ZNF33B,0.932740621029371,-0.0302391092189681,Homo sapiens,ZNF33B,tf,293T,None,None,0,ZNF33B
77051|ZNF737,0.93302657868088,-0.0301059845385685,Homo sapiens,ZNF737,tf,293T,None,None,0,ZNF737
72433|SMARCA2,0.93405596619851,-0.0296271011971004,Homo sapiens,SMARCA2,cr,LNCaP,Epithelium,Prostate,0,SMARCA2
56896|MAP1LC3A,0.934864069945183,-0.0292515313352873,Homo sapiens,MAP1LC3A,other,IMR90,Fibroblast,Lung,0,MAP1LC3A
77089|ZNF562,0.93533969993851,-0.0290306318918047,Homo sapiens,ZNF562,tf,293T,None,None,1,ZNF562
42767|ID2,0.935459600223231,-0.0289749636733061,Homo sapiens,ID2,tf,LoVo,None,Colon,0,ID2
42866|RLF,0.93561039513662,-0.028904961589912,Homo sapiens,RLF,not sure,LoVo,None,Colon,0,RLF
52549|SOX10,0.93570168134038,-0.0288625901489358,Homo sapiens,SOX10,tf,501-Mel,Melanoma Cell,None,1,SOX10
65089|ZNF136,0.935702644169585,-0.0288621432637757,Homo sapiens,ZNF136,,HEK293,Epithelium,Embryonic Kidney,1,ZNF136
77162|ZNF205,0.936310460230776,-0.0285801247564876,Homo sapiens,ZNF205,tf,293T,None,None,1,ZNF205
77072|ZNF620,0.936368199492689,-0.0285533440349627,Homo sapiens,ZNF620,tf,293T,None,None,0,ZNF620
73967|ZNF225,0.936377679497329,-0.0285489471610999,Homo sapiens,ZNF225,other,293T,None,None,1,ZNF225
77187|ZIK1,0.937075865619236,-0.028225247227452,Homo sapiens,ZIK1,tf,293T,None,None,1,ZIK1
77172|ZNF154,0.937128510722959,-0.028200849164636,Homo sapiens,ZNF154,tf,293T,None,None,1,ZNF154
65210|ZFP28,0.937399275539671,-0.0280753864561381,Homo sapiens,ZFP28,,HEK293,Epithelium,Embryonic Kidney,1,ZFP28
65125|PRDM6,0.937607598516503,-0.0279788817222984,Homo sapiens,PRDM6,,HEK293,Epithelium,Embryonic Kidney,1,PRDM6
38798|ZBED4,0.939604930804602,-0.0270547128229,Homo sapiens,ZBED4,tf,LoVo,None,Colon,0,ZBED4
77100|ZNF529,0.939668672581997,-0.0270252517565071,Homo sapiens,ZNF529,tf,293T,None,None,1,ZNF529
57945|SOX15,0.939917348521912,-0.0269103343354315,Homo sapiens,SOX15,tf,CP-A,Epithelium,Esophagus,0,SOX15
77185|ZKSCAN2,0.94142485653712,-0.0262143391562545,Homo sapiens,ZKSCAN2,tf,293T,None,None,1,ZKSCAN2
38863|NFATC3,0.941791022673157,-0.0260454536491811,Homo sapiens,NFATC3,tf,LoVo,None,Colon,0,NFATC3
77121|ZNF440,0.941893217579109,-0.0259983303757271,Homo sapiens,ZNF440,tf,293T,None,None,1,ZNF440
77050|ZNF749,0.941932630195356,-0.0259801581208172,Homo sapiens,ZNF749,tf,293T,None,None,1,ZNF749
77049|ZNF74,0.942138116799769,-0.0258854252676077,Homo sapiens,ZNF74,tf,293T,None,None,0,ZNF74
69877|CCR5,0.942563294030495,-0.0256894768513689,Homo sapiens,CCR5,other,None,Th1,None,1,CCR5
77115|ZNF45,0.942614079928745,-0.0256660774241549,Homo sapiens,ZNF45,other,293T,None,None,0,ZNF45
77020|ZNF891,0.94314640012931,-0.025420888563431,Homo sapiens,ZNF891,other,293T,None,None,0,ZNF891
34532|GCG,0.944641642456989,-0.0247329134166801,Homo sapiens,GCG,not sure,HEK293T,Epithelium,Embryonic Kidney,0,GCG
76671|SMARCA1,0.945635513352869,-0.0242762262221567,Homo sapiens,SMARCA1,cr,LNCaP,Epithelium,Prostate,0,SMARCA1
76470|MBD3L2,0.947763600210782,-0.0232999748212148,Homo sapiens,MBD3L2,other,None,None,None,0,MBD3L2
77139|ZNF311,0.948276460920393,-0.0230650298048441,Homo sapiens,ZNF311,other,293T,None,None,1,ZNF311
77037|ZNF786,0.948867441046151,-0.0227944552684928,Homo sapiens,ZNF786,tf,293T,None,None,1,ZNF786
77158|ZNF222,0.949857754658879,-0.0223414273344519,Homo sapiens,ZNF222,other,293T,None,None,1,ZNF222
38689|CREB3L2,0.950422512734426,-0.0220832850727548,Homo sapiens,CREB3L2,tf,LoVo,None,Colon,0,CREB3L2
77111|ZNF480,0.951746224724125,-0.0214788372188559,Homo sapiens,ZNF480,tf,293T,None,None,1,ZNF480
77110|ZNF483,0.952575087540569,-0.0211007806715186,Homo sapiens,ZNF483,tf,293T,None,None,1,ZNF483
77022|ZNF879,0.953509072278494,-0.0206751704504412,Homo sapiens,ZNF879,tf,293T,None,None,1,ZNF879
8564|TBL1X,0.954577114402882,-0.020188981878098,Homo sapiens,TBL1X,cr,HEK293T,Epithelium,Embryonic Kidney,1,TBL1X
77155|ZNF248,0.955334985200089,-0.0198443177204476,Homo sapiens,ZNF248,tf,293T,None,None,1,ZNF248
42721|HOXA5,0.959293849421118,-0.0180483400302163,Homo sapiens,HOXA5,tf,LoVo,None,Colon,0,HOXA5
38791|HOXA10,0.963077231640844,-0.0163388842871681,Homo sapiens,HOXA10,tf,LoVo,None,Colon,0,HOXA10
77102|ZNF525,0.971336400047308,-0.0126303361242076,Homo sapiens,ZNF525,other,293T,None,None,1,ZNF525
77332|SP140,0.974737915992383,-0.0111121401362397,Homo sapiens,SP140,tf,None,Macrophage,None,1,SP140
77027|ZNF808,0.979131920033529,-0.00915879105395217,Homo sapiens,ZNF808,other,293T,None,None,1,ZNF808
62555|ZNF600,0.979677470807452,-0.00891687910688181,Homo sapiens,ZNF600,,HEK293,Epithelium,Embryonic Kidney,1,ZNF600
50035|NME2,0.982779457010386,-0.00754393013281519,Homo sapiens,NME2,tf,A549,Epithelium,Lung,0,NME2
77177|ZNF124,0.984937428995635,-0.00659135844154159,Homo sapiens,ZNF124,tf,293T,None,None,1,ZNF124
51251|KDM1B,0.985435478832623,-0.00637180578766134,Homo sapiens,KDM1B,cr,HepG2,Epithelium,Liver,0,KDM1B
77079|ZNF605,0.985558614952629,-0.00631754145710886,Homo sapiens,ZNF605,other,293T,None,None,1,ZNF605
77064|ZNF675,0.992786520084034,-0.00314412825878709,Homo sapiens,ZNF675,tf,293T,None,None,1,ZNF675
38708|HOXA2,0.994706130141669,-0.00230520559451899,Homo sapiens,HOXA2,tf,LoVo,None,Colon,0,HOXA2
8563|GPS2,0.995651520838394,-0.00189263854305935,Homo sapiens,GPS2,not sure,HEK293T,Epithelium,Embryonic Kidney,1,GPS2
41573|ING5,0.996372985961824,-0.00157805573082814,Homo sapiens,ING5,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING5
77168|ZNF17,0.996879808835846,-0.00135720027003757,Homo sapiens,ZNF17,tf,293T,None,None,1,ZNF17
65196|ZNF586,0.998568936393137,-0.000621948157618942,Homo sapiens,ZNF586,,HEK293,Epithelium,Embryonic Kidney,1,ZNF586
65069|ZNF490,0.998601208615975,-0.00060791265009498,Homo sapiens,ZNF490,,HEK293,Epithelium,Embryonic Kidney,1,ZNF490
77068|ZNF649,0.999084815824271,-0.000397641422780022,Homo sapiens,ZNF649,tf,293T,None,None,1,ZNF649
76567|ZNF618,0.999705218965082,-0.000128040649739597,Homo sapiens,ZNF618,tf,293T,None,None,1,ZNF618
76568|UHRF2,0.999838245092416,-7.02549459787813E-05,Homo sapiens,UHRF2,other,293T,None,None,1,UHRF2
48692|H3F3B,0.999939930599641,-2.60885926781841E-05,Homo sapiens,H3F3B,other,None,Spermatid,None,1,H3F3B
76854|CDCA2,0.999999932342399,-2.93833237042036E-08,Homo sapiens,CDCA2,other,HeLa,Epithelium,Cervix,1,CDCA2
41412|ERCC2,0.99999998933206,-4.63302744127811E-09,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
41411|ERCC3,0.999999996507216,-1.5168968954612E-09,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
38496|RBL1,0.999999998175385,-7.9242008852715E-10,Homo sapiens,RBL1,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL1
69620|PSMA7,0.999999999778572,-9.61649529285137E-11,Homo sapiens,PSMA7,other,None,Hematopoietic stem and progenitor cell,None,1,PSMA7
42776|NR1D1,1,0,Homo sapiens,NR1D1,tf,LoVo,None,Colon,0,NR1D1
42748|AHCTF1,1,0,Homo sapiens,AHCTF1,tf,LoVo,None,Colon,0,AHCTF1
58996|TAF15,1,0,Homo sapiens,TAF15,not sure,HEK293,Epithelium,Embryonic Kidney,0,TAF15
